name,quantity,set_code,finish,collector_number,purchase_price
"Battlefield Forge",1,fic,nonFoil,375,0.69
"Battlefield Scavenger",1,akh,nonFoil,118,0.35
"Beatrix, Loyal General",1,fin,nonFoil,554,2.49
"Bello, Bard of the Brambles",1,blc,nonFoil,1,6.49
"Bellows Lizard",1,rtr,nonFoil,88,0.35
"Belltower Sphinx",1,m12,nonFoil,46,0.35
"Binding the Old Gods",1,ecc,nonFoil,120,0.35
"Biomass Mutation",1,c19,nonFoil,187,0.49
"Bite Down",1,j25,nonFoil,636,0.35
"Black Waltz No. 3",1,fin,nonFoil,214,0.35
"Blade Instructor",1,grn,nonFoil,1,0.35
"Bladewing the Risen",1,scg,nonFoil,136,3.49
"Blanket of Night",1,vis,nonFoil,52,0.99
"Blazing Bomb",1,fin,nonFoil,130,0.35
"Blazing Sunsteel",1,cmr,nonFoil,364,2.99
"Blessings of Nature",1,avr,nonFoil,168,0.35
"Blightcaster",1,ori,nonFoil,85,0.35
"Blighted Blackthorn",1,ecl,nonFoil,90,0.35
"Blink of an Eye",1,dom,nonFoil,46,0.35
"Blood-Cursed Knight",1,ori,nonFoil,211,0.35
"Bloodscent",1,mrd,nonFoil,114,0.35
"Bloodthrone Vampire",1,m11,nonFoil,85,0.35
"Bogardan Rager",1,tsp,nonFoil,148,0.35
"Boggart Mischief",2,ecl,nonFoil,92,0.35
"Boggart Prankster",1,ecl,nonFoil,93,0.35
"Bogslither's Embrace",2,ecl,nonFoil,94,0.35
"Bond of Flourishing",1,j25,nonFoil,637,0.35
"Boneclub Berserker",1,ecl,nonFoil,126,0.35
"Bootleggers' Stash",1,blc,nonFoil,207,0.99
"Boros Guildgate",1,cmr,nonFoil,478,0.35
"Bounty of the Luxa",1,c19,nonFoil,189,0.49
"Brago's Favor",1,cns,nonFoil,3,0.35
"Brago's Representative",1,cns,nonFoil,14,0.35
"Braids, Cabal Minion",1,ema,nonFoil,82,0.99
"Braidwood Cup",2,uds,nonFoil,126,0.35
"Bramble Armor",1,mid,nonFoil,171,0.35
"Brazen Collector",1,blb,foil,128,0.35
"Brazen Freebooter",1,cmr,nonFoil,164,0.35
"Break of Day",2,dka,nonFoil,3,0.35
"Bred for the Hunt",1,dgm,nonFoil,59,0.35
"Bretagard Stronghold",1,moc,nonFoil,392,0.35
"Brightcap Badger // Fungus Frolic",1,blc,nonFoil,28,0.49
"Bright-Palm, Soul Awakener",1,moc,etched,134,
"Bright-Palm, Soul Awakener",1,moc,nonFoil,1,0.99
"Bristlebane Outrider",2,ecl,nonFoil,169,0.35
"Bristling Backwoods",1,otj,nonFoil,253,0.35
"Burden of Proof",1,mkm,nonFoil,42,0.35
"Burner Rocket",1,dft,nonFoil,114,0.35
"Burning Sands",1,ody,nonFoil,180,3.99
"Burrenton Forge-Tender",1,md1,nonFoil,22,0.35
"Bushi Tenderfoot // Kenzo the Hardhearted",1,chk,nonFoil,2,0.35
"Cabaretti Courtyard",1,eoc,nonFoil,151,0.79
"Call the Mountain Chocobo",2,fin,nonFoil,131,0.35
"Cancel",1,ktk,nonFoil,33,0.35
"Cancel",1,tsp,nonFoil,51,0.35
"Candlelight Vigil",1,grn,nonFoil,3,0.35
"Candlelit Cavalry",1,mid,nonFoil,175,0.35
"Canopy Baloth",2,j25,nonFoil,643,0.35
"Canopy Vista",1,moc,nonFoil,393,0.99
"Capenna Express",1,snc,nonFoil,139,0.35
"Catacomb Slug",1,rtr,nonFoil,58,0.35
"Cathar's Companion",1,soi,nonFoil,9,0.35
"Cathartic Pyre",1,mid,nonFoil,133,0.35
"Cathartic Reunion",1,ecc,nonFoil,91,0.35
"Celes, Rune Knight",1,fic,foil,220,
"Centaur Peacemaker",1,grn,nonFoil,158,0.35
"Chandra, Spark Hunter",1,dft,nonFoil,116,5.99
"Changeling Sentinel",1,mor,nonFoil,6,0.35
"Changeling Wayfinder",1,ecl,nonFoil,1,0.35
"Channeler Initiate",1,ecc,nonFoil,101,0.49
"Chaos Spewer",1,ecl,nonFoil,210,0.35
"Chaplain's Blessing",1,soi,nonFoil,10,0.35
"Chitinous Graspling",1,ecl,foil,211,0.35
"Chitinous Graspling",1,ecl,nonFoil,211,0.35
"Chosen of Markov // Markov's Servant",1,dka,nonFoil,55,0.35
"Cinder Glade",1,moc,nonFoil,395,0.49
"Cinder Glade",1,ecc,nonFoil,146,0.49
"Cinder Strike",2,ecl,nonFoil,131,0.35
"Cleric of the Forward Order",1,ori,nonFoil,10,0.35
"Clifftop Lookout",1,blb,nonFoil,168,0.39
"Clifftop Retreat",1,fic,nonFoil,381,0.79
"Cloud Cover",1,pls,nonFoil,98,2.29
"Cloud, Planet's Champion",1,fin,foil,552,
"Cloudbound Moogle",3,fin,nonFoil,11,0.35
"Coeurl",3,fin,nonFoil,12,0.35
"Coin of Fate",1,fic,nonFoil,15,0.49
"Collar the Culprit",1,grn,nonFoil,5,0.35
"Collective Resistance",1,mh3,nonFoil,147,3.49
"Colossus Hammer",1,fic,nonFoil,338,1.79
"Combat Celebrant",1,blc,nonFoil,194,1.79
"Command the Storm",1,grn,nonFoil,94,0.35
"Command Tower",1,fic,nonFoil,484,0.69
"Command Tower",1,moc,nonFoil,396,0.69
"Command Tower",1,eld,nonFoil,333,0.79
"Compulsive Research",1,rvr,nonFoil,311,0.35
"Conclave Mentor",1,moc,nonFoil,320,1.49
"Condescend",1,5dn,nonFoil,27,0.79
"Constable of the Realm",1,moc,nonFoil,179,0.35
"Consulate Turret",1,aer,nonFoil,147,0.35
"Countermand",1,jou,nonFoil,33,0.35
"Counterspell",1,dmr,nonFoil,45,3.49
"Countless Gears Renegade",1,aer,nonFoil,13,0.35
"Covetous Dragon",1,uds,nonFoil,80,5.99
"Crack Open",1,mh2,nonFoil,154,0.35
"Crackling Doom",1,fic,nonFoil,322,0.49
"Cromat",1,apc,nonFoil,94,4.49
"Crossroads Village",1,fin,nonFoil,276,0.35
"Crossroads Watcher",2,ecl,nonFoil,173,0.35
"Crowd-Control Warden",1,mkm,nonFoil,193,0.35
"Cruel Revival",1,ori,nonFoil,88,0.35
"Cryptic Gateway",1,ons,nonFoil,306,1.79
"Crystal Fragments // Summon: Alexander",1,fin,nonFoil,13,0.35
"Cultivate",1,tmc,nonFoil,50,0.99
"Cultivate",1,moc,nonFoil,295,0.79
"Curious Colossus",1,ecl,nonFoil,298,1.79
"Curious Colossus",1,ecl,nonFoil,12,0.99
"Cyan, Vengeful Samurai",1,fic,nonFoil,16,0.49
"Danitha Capashen, Paragon",1,cmm,nonFoil,20,0.69
"Danitha Capashen, Paragon",1,fca,nonFoil,22,0.59
"Daring Demolition",1,aer,nonFoil,55,0.35
"Darkblade Agent",1,grn,nonFoil,164,0.35
"Darksteel Axe",1,2xm,foil,247,0.35
"Dauntless Cathar",1,inr,nonFoil,19,0.35
"Dawn Charm",1,cmr,nonFoil,371,2.49
"Dawn-Blessed Pennant",1,ecl,nonFoil,254,0.35
"Dawnhand Eulogist",1,ecl,nonFoil,99,0.35
"Dawnhart Mentor",1,mid,nonFoil,179,0.35
"Dead Reveler",1,rtr,nonFoil,62,0.35
"Death Frenzy",1,ktk,nonFoil,172,0.35
"Death Pit Offering",1,nem,nonFoil,56,0.69
"Death-Greeter's Champion",1,moc,nonFoil,30,0.79
"Death's Caress",1,dka,nonFoil,59,0.35
"Decimate",1,blc,nonFoil,251,0.59
"Decommission",1,aer,nonFoil,16,0.35
"Decree of Savagery",1,scg,nonFoil,115,0.59
"Deep Analysis",1,dmr,nonFoil,46,0.35
"Deepwater Hypnotist",1,bng,nonFoil,35,0.35
"Deepwood Denizen",1,j25,nonFoil,648,0.49
"Defiant Salvager",1,aer,nonFoil,56,0.35
"Deluge",1,ody,nonFoil,80,0.69
"Demolition Field",1,m3c,nonFoil,335,0.49
"Demolition Field",1,fic,nonFoil,385,0.49
"Desolate Mire",1,fic,nonFoil,386,0.69
"Destroy the Evidence",1,rtr,nonFoil,64,0.35
"Devilthorn Fox",2,soi,nonFoil,14,0.35
"Devkarin Dissident",1,grn,nonFoil,127,0.35
"Dimir Aqueduct",1,dsc,nonFoil,270,0.49
"Dina, Soul Steeper",1,mul,nonFoil,37,0.35
"Dingus Egg",1,8ed,nonFoil,297,0.59
"Diplomacy of the Wastes",1,frf,nonFoil,67,0.35
"Disembowel",1,rvr,nonFoil,74,0.35
"Disenchant",1,cmr,nonFoil,372,0.39
"Disenchant",1,ice,nonFoil,20,0.35
"Disenchant",1,tmp,nonFoil,16,0.35
"Disorder",1,7ed,nonFoil,179,0.35
"Disperse",1,mor,nonFoil,31,0.35
"Disruptor of Currents",1,ecl,nonFoil,47,0.49
"Dive Down",1,xln,nonFoil,53,0.35
"Divination",1,bng,nonFoil,36,0.35
"Divine Verdict",1,ths,nonFoil,8,0.35
"Domri, Anarch of Bolas",1,blc,nonFoil,98,0.79
"Don't Make a Sound",1,dsk,nonFoil,49,0.35
"Doomed Traveler",1,cn2,nonFoil,83,0.35
"Door of Destinies",1,spg,nonFoil,146,13.99
"Dragon Fodder",1,dtk,nonFoil,135,0.35
"Dragonhawk, Fate's Tempest",1,blb,foil,291,20.99
"Dragon-Scarred Bear",1,dtk,nonFoil,183,0.35
"Dragonskull Summit",1,ecc,nonFoil,147,1.29
"Dragoon's Lance",2,fin,nonFoil,17,0.35
"Dread Tiller",1,ecc,nonFoil,20,0.49
"Dreadwurm",1,znr,nonFoil,100,0.35
"Dreams of Laguna",2,fin,nonFoil,50,0.35
"Dromad Purebred",1,rav,nonFoil,15,0.35
"Dromoka Dunecaster",1,dtk,nonFoil,13,0.35
"Dromoka's Command",1,moc,nonFoil,323,0.59
"Drowsing Tyrannodon",2,j25,nonFoil,651,0.35
"Duskshell Crawler",1,mh2,nonFoil,156,0.49
"Dwarven Castle Guard",4,fin,nonFoil,18,0.35
"Echoing Truth",1,c19,nonFoil,84,0.35
"Eclipsed Boggart",1,ecl,nonFoil,217,0.35
"Eclipsed Elf",1,ecl,nonFoil,336,0.35
"Eclipsed Kithkin",1,ecl,nonFoil,220,0.35
"Eclipsed Merrow",1,ecl,nonFoil,339,0.35
"Eclipsed Realms",2,ecl,nonFoil,263,0.79
"Edgar, Master Machinist",1,fic,nonFoil,80,0.49
"Electrify",1,akh,nonFoil,129,0.35
"Elite Scaleguard",1,moc,nonFoil,181,0.35
"Embereth Shieldbreaker // Battle Display",1,clb,nonFoil,792,0.35
"Emergent Woodwurm",1,moc,nonFoil,37,5.49
"Emissary of the Sleepless",2,soi,nonFoil,17,0.35
"Encroaching Wastes",1,cmr,nonFoil,481,0.39
"Endoskeleton",1,usg,nonFoil,294,0.35
"Enduring Scalelord",1,moc,nonFoil,325,0.35
"Enraged Flamecaster",2,ecl,nonFoil,135,0.35
"Epic Struggle",1,jud,nonFoil,112,7.99
"Eron the Relentless",1,tsb,nonFoil,61,0.35
"Erstwhile Trooper",1,grn,nonFoil,169,0.35
"Essence Scatter",1,akh,nonFoil,52,0.35
"Essence Scatter",1,dmu,nonFoil,49,0.35
"Eventide's Shadow",1,ecc,nonFoil,8,0.49
"Evercoat Ursine",1,blc,nonFoil,30,0.99
"Everlasting Torment",1,ecc,nonFoil,121,0.49
"Evil Reawakened",2,fin,nonFoil,98,0.35
"Evolving Wilds",1,blc,nonFoil,302,0.35
"Evolving Wilds",1,m20,nonFoil,246,0.35
"Evolving Wilds",1,drc,nonFoil,154,0.35
"Evolving Wilds",1,moc,nonFoil,397,0.35
"Exalted Dragon",1,exo,nonFoil,6,0.99
"Exclude",1,a25,nonFoil,55,0.35
"Expedite",1,cmr,nonFoil,413,0.49
"Expedition Skulker",1,znr,nonFoil,101,0.35
"Explore",1,blc,nonFoil,216,0.59
"Explosive Vegetation",1,ons,nonFoil,263,0.99
"Fact or Fiction",1,dmr,nonFoil,48,0.35
"Faerie Snoop",1,mkm,nonFoil,203,0.35
"Failed Conversion",1,mom,nonFoil,103,0.35
"Faith Unbroken",1,cmr,nonFoil,373,0.35
"Faithful Squire // Kaiso, Memory of Loyalty",1,bok,nonFoil,3,0.35
"Falkenrath Exterminator",1,moc,nonFoil,276,0.35
"Falkenrath Torturer",1,inr,nonFoil,109,0.35
"Falkenrath Torturer",1,dka,nonFoil,60,0.35
"Farbog Boneflinger",1,dka,nonFoil,61,0.35
"Fast // Furious",1,mh2,nonFoil,123,0.35
"Fate Foretold",1,ths,nonFoil,48,0.35
"Fate of the Sun-Cryst",2,fin,nonFoil,19,0.35
"Fearless Halberdier",2,grn,nonFoil,100,0.35
"Feisty Spikeling",1,ecl,nonFoil,223,0.35
"Felhide Brawler",1,bng,nonFoil,70,0.35
"Fellwar Stone",1,blc,nonFoil,269,1.99
"Feral Invocation",1,ths,nonFoil,158,0.35
"Ferrafor, Young Yew",1,ecc,nonFoil,16,0.49
"Festering Thicket",1,ecc,nonFoil,61,0.79
"Festive Funeral",1,eld,nonFoil,87,0.35
"Fetid Heath",1,fic,nonFoil,391,1.29
"Field of Ruin",1,moc,nonFoil,400,0.49
"Fire Urchin",1,grn,nonFoil,101,0.35
"Fireshrieker",1,cmr,nonFoil,462,0.69
"Flamekin Gildweaver",2,ecl,nonFoil,140,0.35
"Flamerush Rider",1,moc,nonFoil,279,0.49
"Flameshadow Conjuring",1,moc,nonFoil,280,5.99
"Flaring Cinder",1,ecl,nonFoil,225,0.35
"Flayer of the Hatebound",1,fic,nonFoil,293,0.49
"Fleetfeather Sandals",1,ths,nonFoil,216,0.35
"Fleeting Image",1,8ed,nonFoil,79,0.49
"Flickerwisp",1,cmr,nonFoil,374,0.49
"Fling",1,akh,nonFoil,132,0.35
"Floodtide Serpent",1,bng,nonFoil,41,0.35
"Flourishing Strike",1,mh2,nonFoil,159,0.35
"Flowstone Armor",1,nem,nonFoil,131,0.35
"Flubs, the Fool",1,blc,nonFoil,356,1.79
"Fodder Cannon",1,uds,nonFoil,131,0.39
"Foraging Wickermaw",1,ecl,nonFoil,256,0.35
"Force Away",1,ktk,nonFoil,40,0.35
"Foreboding Fruit",1,eld,nonFoil,88,0.35
"Foresee",1,fut,nonFoil,36,0.35
"Forest",25,blb,nonFoil,378,0.49
"Forest",1,ons,nonFoil,347,0.69
"Forest",1,j25,nonFoil,95,0.35
"Forge Devil",1,m15,nonFoil,140,0.35
"Forging the Tyrite Sword",1,khm,nonFoil,211,0.35
"Forgotten Cave",1,blc,nonFoil,305,0.35
"Forgotten Cave",1,cmr,nonFoil,483,0.35
"Fortified Village",1,moc,nonFoil,401,0.49
"Foul Orchard",1,c19,nonFoil,244,0.35
"Frantic Search",1,dmr,nonFoil,51,0.99
"Fresh-Faced Recruit",1,grn,nonFoil,216,0.35
"Freya Crescent",1,fin,nonFoil,138,0.35
"Freya Crescent",1,fin,nonFoil,460,2.79
"Friendly Ghost",1,dsk,nonFoil,12,0.35
"Frontline Sage",1,con,nonFoil,28,0.35
"Frost Ogre",1,bok,nonFoil,102,0.35
"Funnel-Web Recluse",1,mh2,nonFoil,161,0.35
"Furnace Dragon",1,dst,nonFoil,62,0.49
"Furycalm Snarl",1,moc,nonFoil,404,0.49
"Furycalm Snarl",1,fic,nonFoil,397,0.49
"Gadget Technician",1,mkm,nonFoil,204,0.35
"Galadhrim Bow",1,ltr,nonFoil,167,0.35
"Game Trail",1,moc,nonFoil,405,0.59
"Garnet, Princess of Alexandria",1,fin,nonFoil,222,0.35
"Gau, Feral Youth",1,fic,nonFoil,55,0.49
"Gavony Township",1,moc,nonFoil,406,7.99
"General Leo Cristophe",1,fic,nonFoil,20,0.49
"Generous Gift",1,moc,nonFoil,187,1.79
"Geothermal Bog",1,fic,nonFoil,399,0.35
"Ghastly Conscription",1,c19,nonFoil,115,0.99
"Ghirapur Osprey",1,aer,nonFoil,20,0.35
"Glade Watcher",1,dtk,nonFoil,188,0.35
"Glimmer Bairn",1,mh2,nonFoil,163,0.35
"Glimmerdust Nap",1,lrw,nonFoil,68,0.35
"Glissa Sunslayer",1,ecc,nonFoil,122,0.49
"Glissa's Scorn",1,nph,nonFoil,110,0.35
"Glittermonger",1,snc,nonFoil,149,0.35
"Goatnap",2,ecl,nonFoil,142,0.35
"Goblin Locksmith",1,grn,nonFoil,104,0.35
"Godhunter Octopus",1,jou,nonFoil,39,0.35
"Gogo, Mysterious Mime",1,fic,nonFoil,56,3.99
"Goldvein Pick",1,fdn,foil,253,0.35
"Golgari Guildgate",1,c19,nonFoil,247,0.35
"Golgari Rot Farm",1,ecc,nonFoil,151,0.69
"Good-Fortune Unicorn",1,moc,nonFoil,326,0.35
"G'raha Tia",1,fin,nonFoil,21,0.35
"Granite Witness",1,mkm,nonFoil,206,0.35
"Grasp of Phantoms",1,isd,nonFoil,58,0.35
"Gravelgill Scoundrel",1,ecl,nonFoil,53,0.35
"Gravepurge",1,dtk,nonFoil,104,0.35
"Grazing Gladehart",1,j25,nonFoil,665,0.35
"Grim Guardian",1,jou,nonFoil,73,0.39
"Griptide",1,dka,nonFoil,38,0.35
"Grisly Survivor",1,hou,nonFoil,64,0.35
"Gristle Glutton",2,ecl,nonFoil,144,0.35
"Gristle Glutton",1,ecl,foil,144,0.35
"Gruesome Discovery",1,dka,nonFoil,66,0.35
"Grumgully, the Generous",1,blc,nonFoil,253,0.35
"Gruul Turf",1,ecc,nonFoil,152,0.49
"Guardian Scalelord",1,moc,nonFoil,16,6.99
"Guardian Zendikon",1,cns,nonFoil,71,0.35
"Guardian's Magemark",1,gpt,nonFoil,8,0.35
"Guidelight Matrix",1,dft,nonFoil,233,0.35
"Guul Draz Mucklord",1,znr,nonFoil,104,0.35
"Hada Spy Patrol",1,roe,nonFoil,71,0.35
"Hamza, Guardian of Arashin",1,moc,nonFoil,327,0.59
"Hana Kami",1,chk,nonFoil,211,0.35
"Hardened Berserker",1,dtk,nonFoil,139,0.35
"Harvest Pyre",1,isd,nonFoil,146,0.35
"Haste Magic",1,fin,nonFoil,140,0.35
"Haunted Cloak",1,cmr,foil,313,0.35
"Heaven // Earth",1,moc,nonFoil,328,0.49
"Hecteyes",1,fin,nonFoil,103,0.35
"Heliod's Pilgrim",1,pio,nonFoil,15,
"Heritage Reclamation",1,tdm,nonFoil,145,0.49
"Hero's Blade",1,who,foil,241,0.35
"Hero's Blade",1,cmr,nonFoil,314,0.35
"High Perfect Morcant",1,ecl,nonFoil,229,0.99
"High Sentinels of Arashin",1,moc,nonFoil,189,0.49
"Highland Forest",1,khm,nonFoil,261,0.79
"Highspire Mantis",2,ktk,nonFoil,177,0.35
"Hill Gigas",1,fin,nonFoil,141,0.35
"Hindervines",1,moc,nonFoil,301,0.35
"Hoarder's Greed",1,ecc,nonFoil,47,0.35
"Hollow Warrior",1,pcy,nonFoil,138,0.35
"Hooded Assassin",1,frf,nonFoil,73,0.35
"Horizon Scholar",1,plst,nonFoil,THS-51,0.35
"Hovel Hurler",1,ecl,nonFoil,230,0.35
"Humble the Brute",1,soi,nonFoil,23,0.35
"Ichor Elixir",1,moc,nonFoil,46,0.49
"Ifnir Deadlands",1,ecc,nonFoil,153,0.35
"Ignoble Hierarch",1,ecc,nonFoil,52,1.99
"Il Mheg Pixie",3,fin,nonFoil,57,0.35
"Illusion Spinners",1,ecl,nonFoil,55,0.35
"Immediate Action",1,cns,nonFoil,5,0.35
"Implement of Combustion",1,aer,nonFoil,155,0.35
"Implement of Examination",1,aer,nonFoil,156,0.35
"Impulse",1,dmr,nonFoil,287,0.69
"Inspiring Roar",1,cmr,nonFoil,23,0.35
"Interceptor, Shadow's Hound",1,fic,nonFoil,47,0.49
"Into the North",1,csp,nonFoil,111,1.49
"Into the Roil",1,znr,foil,62,0.35
"Intruding Soulrager",1,dsk,nonFoil,218,0.35
"Invasion of Ergamon // Truga Cliffcharger",1,mom,nonFoil,233,0.35
"Ion Storm",1,moc,nonFoil,286,0.49
"Iona's Judgment",1,cmr,nonFoil,25,0.35
"Ironclad Slayer",1,cmr,nonFoil,376,0.35
"Irontread Crusher",2,klr,nonFoil,247,
"Island",9,fin,nonFoil,298,0.49
"Isolated Chapel",1,fic,nonFoil,405,0.99
"Item Shopkeep",4,fin,nonFoil,142,0.35
"Jeskai Windscout",1,ktk,nonFoil,44,0.35
"Jodah's Avenger",1,tsr,nonFoil,72,0.35
"Judgment Bolt",1,fin,nonFoil,559,0.59
"Judith, Carnage Connoisseur",1,mkm,foil,210,0.79
"Jungle Hollow",1,c19,nonFoil,254,0.35
"Jungle Shrine",1,moc,nonFoil,408,0.59
"Juniper Order Ranger",1,moc,nonFoil,330,0.39
"Kari Zev, Skyship Raider",1,j22,nonFoil,562,0.49
"Keep Out",2,ecl,nonFoil,19,0.35
"Kefka, Dancing Mad",1,fic,nonFoil,84,0.69
"Kefka, Dancing Mad",1,fic,nonFoil,174,2.99
"Kheru Dreadmaw",1,ktk,nonFoil,76,0.35
"Kinbinding",1,ecl,foil,407,
"Kindled Fury",1,dtk,nonFoil,142,0.35
"Kinsbaile Balloonist",1,lrw,nonFoil,23,0.35
"Kithkeeper",1,ecl,nonFoil,23,0.35
"Kitsune Palliator",1,bok,nonFoil,14,0.39
"Kjeldoran Outrider",1,csp,nonFoil,12,0.35
"Knight of Stromgald",1,5ed,nonFoil,171,0.69
"Kolaghan Aspirant",1,dtk,nonFoil,143,0.35
"Kolaghan Stormsinger",1,plst,nonFoil,DTK-145,0.35
"Kor Cartographer",1,cmr,nonFoil,30,0.35
"Krenko, Tin Street Kingpin",1,moc,nonFoil,287,5.99
"Krosan Verge",1,moc,nonFoil,412,0.35
"Kulrath Zealot",1,ecl,nonFoil,148,0.35
"Lakeside Shack",1,dsk,nonFoil,262,0.35
"Lamplighter of Selhoff",1,soi,nonFoil,72,0.35
"Laquatus's Disdain",1,jud,nonFoil,44,0.35
"Last Gasp",1,rav,nonFoil,93,0.35
"Launch Party",1,rtr,nonFoil,69,0.35
"Lavaleaper",1,ecl,nonFoil,150,0.49
"Leadership Vacuum",1,c19,nonFoil,9,0.79
"Ledev Guardian",1,grn,nonFoil,18,0.35
"Legerdemain",1,tmp,nonFoil,72,0.59
"Legions to Ashes",1,fic,nonFoil,326,0.49
"Lens Flare",1,mh2,nonFoil,330,0.35
"Levitation",1,m12,nonFoil,61,0.35
"Leyline of Anticipation",1,m20,nonFoil,64,9.99
"Lightning Elemental",1,9ed,nonFoil,201,0.35
"Lightning Spear",1,mh2,nonFoil,134,0.35
"Lightning, Security Sergeant",1,fin,nonFoil,560,0.79
"Liliana, Death Wielder",2,ecc,nonFoil,78,0.99
"Liminal Hold",1,ecl,foil,24,0.35
"Lingering Tormentor",1,eve,nonFoil,36,0.79
"Lion Sash",1,neo,nonFoil,26,2.99
"Llanowar Dead",1,apc,nonFoil,109,0.35
"Llawan, Cephalid Empress",1,tor,nonFoil,42,1.79
"Locke, Treasure Hunter",1,fic,nonFoil,87,0.49
"Loporrit Scout",1,fin,nonFoil,192,0.35
"Loxodon Restorer",1,grn,nonFoil,20,0.35
"Loxodon Stalwart",1,5dn,nonFoil,11,0.35
"Lulu, Stern Guardian",1,fic,nonFoil,38,1.49
"Lys Alana Informant",1,ecl,nonFoil,181,0.35
"Magitek Infantry",2,fin,nonFoil,25,0.35
"Magitek Scythe",1,fin,nonFoil,562,0.49
"Magus of the Disk",1,tsp,nonFoil,27,0.79
"Mana Cylix",1,pls,nonFoil,132,0.35
"Mana Leak",1,8ed,nonFoil,89,0.39
"Managorger Hydra",1,moc,nonFoil,307,1.79
"Maniacal Rage",1,grn,nonFoil,110,0.35
"Marang River Skeleton",2,dtk,nonFoil,108,0.35
"Maritime Guard",1,ori,nonFoil,63,0.35
"Martial Coup",1,cmr,nonFoil,378,0.49
"Mask of Avacyn",1,cmr,nonFoil,466,1.49
"Mask of Memory",1,fic,foil,350,1.29
"Master Warcraft",1,cmr,nonFoil,447,1.29
"Maximize Velocity",2,grn,nonFoil,111,0.35
"Mayhem Devil",1,eoc,nonFoil,121,0.99
"Me, the Immortal",1,who,foil,430,1.29
"Meanders Guide",1,ecl,nonFoil,25,0.35
"Meddle",1,ons,nonFoil,92,0.35
"Memorial to War",1,cmr,nonFoil,486,0.35
"Memory Lapse",1,7ed,nonFoil,88,1.29
"Memory Theft",2,eld,nonFoil,96,0.35
"Merrow Skyswimmer",2,ecl,nonFoil,234,0.35
"Midnight Banshee",1,ecc,nonFoil,80,0.49
"Midnight Guard",1,dka,nonFoil,14,0.35
